station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR S/O SATHYANATHAN.S,S.SATHISH KUMAR S/O SRIRAMULU,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
179,0,325,25,79,0,0,23,0,2,1,4,1,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,467,6,473
180,1,278,31,340,1,0,28,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,1,0,691,10,701
181,2,349,67,210,1,1,35,0,1,1,2,2,2,2,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,683,19,702
182,0,183,11,465,0,2,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,683,12,695
183,0,163,10,293,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,482,9,491
184,0,214,13,317,2,1,22,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,577,9,586
185,4,216,19,271,1,1,16,1,0,0,1,0,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,539,13,552
186,2,376,81,96,1,0,45,0,0,0,4,0,1,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,615,14,629
187,1,252,28,59,0,0,15,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,362,5,367
188,0,236,56,69,0,0,34,0,0,0,2,0,1,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,408,8,416
189,6,404,120,132,1,0,20,1,0,0,4,1,1,3,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,700,3,703
190,1,383,62,101,0,1,18,1,0,1,0,1,3,5,1,2,0,4,0,1,0,0,1,1,0,0,1,1,0,0,1,590,8,598
191,5,381,125,62,1,0,66,0,1,0,1,5,0,5,0,0,2,1,3,0,1,1,0,0,0,0,1,0,2,0,1,664,8,672
192,3,465,66,126,0,1,80,0,0,0,5,0,2,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,756,13,769
193,1,460,22,22,0,1,10,0,0,0,3,3,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,528,5,533
194,2,452,74,97,0,0,48,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,680,12,692
195,0,275,46,89,0,1,28,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,446,7,453
196,2,232,25,49,0,2,23,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,341,17,358
197,5,375,104,106,0,2,72,0,0,0,3,1,0,4,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,678,16,694
198,4,377,53,99,0,0,57,1,0,0,2,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,602,8,610
199,1,293,54,69,1,2,35,0,0,0,2,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,464,13,477
200,1,127,28,67,0,0,16,0,0,0,3,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,247,6,253
201,0,283,43,116,1,0,27,0,1,0,2,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,482,12,494
202,4,400,48,64,0,0,45,0,0,1,4,2,1,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,582,7,589
203,3,267,57,73,0,1,25,2,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,439,4,443
204,0,345,33,70,0,0,29,0,0,0,1,1,0,3,1,1,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,490,5,495
205,1,247,36,32,0,0,13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,333,7,340
206,0,230,54,67,0,0,49,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,411,7,418
207,2,219,30,87,0,2,19,0,0,0,3,1,0,1,0,0,1,1,1,0,1,0,0,3,0,0,0,0,1,0,1,373,12,385
208,3,227,34,50,0,1,27,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,348,7,355
209,0,315,43,34,0,0,31,0,0,1,2,1,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,437,4,441
210,0,255,52,50,0,1,45,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,3,412
211,2,576,32,94,0,2,43,1,0,0,3,1,2,2,1,2,1,1,0,2,1,0,1,0,0,0,1,0,0,0,1,769,16,785
212,4,433,43,76,0,0,33,1,0,0,4,3,1,5,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,1,1,612,14,626
213,1,346,41,59,0,2,24,0,0,0,3,0,0,5,0,1,1,1,2,1,1,0,0,0,0,0,0,1,0,1,0,490,19,509
214,3,244,52,61,1,0,24,0,0,0,3,0,1,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,396,3,399
215,2,230,74,54,0,0,68,0,0,0,1,1,0,2,0,2,0,0,3,0,0,2,0,0,1,0,0,0,1,0,0,441,3,444
216,3,359,35,8,0,0,22,1,0,0,1,0,0,5,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,440,2,442
217,3,631,48,5,0,0,24,1,1,0,2,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,725,1,726
218,3,335,73,80,2,0,74,0,0,1,1,1,0,14,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,588,5,593
219,10,475,94,91,1,0,90,0,1,0,3,2,1,6,0,2,3,4,4,0,1,0,0,0,0,0,1,1,0,0,1,791,4,795
220,3,442,110,73,1,0,82,0,0,0,3,2,4,14,2,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,742,5,747
