station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR S/O SATHYANATHAN.S,S.SATHISH KUMAR S/O SRIRAMULU,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
41,2,359,20,38,0,0,11,0,0,0,0,2,1,2,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,442,4,446
42,1,411,51,118,0,0,18,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,9,612
43,2,310,24,48,0,1,23,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,414,3,417
44,2,288,45,95,1,1,18,0,0,0,3,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,458,3,461
45,2,604,6,54,0,0,8,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,681,4,685
46,3,489,37,45,1,0,15,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,596,5,601
47,0,278,45,185,0,0,24,0,0,0,4,1,0,1,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,544,8,552
48,1,395,17,51,0,1,15,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,2,486
49,1,387,38,115,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,2,565
50,0,440,62,70,0,0,29,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,610,2,612
51,0,344,58,229,0,1,26,0,0,1,1,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,667,7,674
52,3,455,26,36,0,0,25,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,551,6,557
53,1,226,45,46,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,328,4,332
54,0,229,98,106,0,0,20,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,459,4,463
55,0,482,112,41,0,0,29,1,0,0,3,0,1,2,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,2,680,1,681
56,0,318,72,113,0,0,49,0,0,1,4,2,1,6,0,1,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,575,12,587
57,0,383,27,107,0,0,23,0,0,0,1,1,1,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,551,3,554
58,0,285,41,189,0,0,31,1,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,554,5,559
59,0,263,66,164,0,1,37,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,543,5,548
60,2,454,60,160,1,0,28,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,711,8,719
61,2,525,119,38,0,0,23,1,3,0,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,721,4,725
62,1,600,13,36,0,0,13,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,668,6,674
63,1,512,22,82,0,2,28,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,4,656
64,0,478,35,86,0,0,24,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,631,3,634
65,1,301,30,120,1,0,27,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,488,10,498
66,3,336,33,227,0,0,33,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,638,5,643
67,0,481,22,104,0,0,15,0,0,0,1,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,631,6,637
68,0,272,25,148,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,455,5,460
69,1,648,27,77,0,0,16,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,14,788
70,0,490,27,51,0,1,20,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,594,9,603
71,0,373,47,307,0,0,26,2,1,0,3,0,1,0,0,1,1,2,1,3,2,0,1,0,0,1,2,0,1,2,0,777,19,796
72,1,278,27,72,1,0,23,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,2,407
73,1,341,31,161,0,1,15,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,558,10,568
74,2,322,43,187,0,0,31,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,594,14,608
75,0,397,48,133,1,1,35,1,1,0,1,1,0,6,0,0,0,2,1,0,1,0,0,2,1,0,2,0,0,1,0,635,9,644
76,0,421,32,236,0,1,31,0,1,1,4,1,0,4,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,736,17,753
77,0,314,39,59,0,0,17,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,433,5,438
78,0,497,39,145,0,0,29,0,0,0,1,1,1,5,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,723,16,739
79,1,253,11,60,0,0,27,0,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,6,365
80,0,374,42,122,0,1,34,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,583,15,598
81,2,532,44,126,0,0,41,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,757,18,775
82,1,409,129,36,1,1,66,0,0,1,4,0,2,5,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,661,7,668
83,2,473,118,59,0,3,65,0,0,0,2,3,2,3,2,0,1,3,0,1,0,0,0,0,0,1,0,0,0,1,1,740,7,747
84,1,342,50,73,2,0,37,0,0,0,3,1,0,2,2,0,2,5,0,2,2,1,0,1,0,0,0,1,0,0,0,527,4,531
85,1,354,45,40,0,2,51,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,498,10,508
86,1,389,69,155,0,1,64,0,0,1,4,2,0,5,0,0,1,2,2,1,0,0,2,0,1,0,0,0,0,2,1,703,19,722
87,0,378,63,116,0,1,76,1,1,2,5,2,0,6,0,0,2,3,1,1,3,1,1,0,0,0,0,0,0,1,1,665,6,671
88,1,467,66,87,1,1,71,0,0,0,3,1,1,3,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,1,0,709,12,721
89,3,497,68,56,0,1,83,1,0,0,6,0,1,1,0,0,2,10,1,1,0,2,1,0,0,0,0,0,1,0,1,736,10,746
90,1,391,76,59,0,0,71,0,1,1,5,0,0,10,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,622,11,633
91,2,178,18,311,0,0,25,1,0,0,1,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,543,12,555
92,1,227,59,317,0,0,50,0,0,0,5,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,667,21,688
93,3,196,52,161,0,1,28,1,0,0,1,0,0,3,1,0,1,4,0,2,1,0,1,0,0,1,0,0,0,1,2,460,7,467
