part_no,ps_no,building,pincode,polling_area,voter_type
1,1,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Kanaiya ( Naidu ) Street 2 - Kondithope Ward No 54 Thanga Salai 2nd Lane 3 - Kondithope Ward No 54 Veda Vinayagar Koil Street 999 - Overseas Elector,All Voters
2,2,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Muniyappa Street,All Voters
3,3,"Junior Engineers Office, No:508, Mint Street, Kondithope, Chennai-600079.",600079,1 - Kondithope Ward No 54 Mint Street Door No ( 1 To 81 ) & ( 2 To 82 ),All Voters
4,4,"Junior Engineers Office, No:508, Mint Street, Kondithope, Chennai-600079.",600079,1 - Kondithope Ward No 54 Mint Street Door No( 83 To 129 ) & ( 84 To 130 ),All Voters
5,5,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Krishnappa Agraharam Street Door No ( 1 To 45 & 2 To 52 ) 2 - Kondithope Ward No 54 Seenu Street 3 - Kondithope Ward No 54 Thanga Salai 1st Lane 4 - Kondithope Ward No 54 Bajanai Koil Street,All Voters
6,6,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Perumal Street 2 - Kondithope Ward No 54 Rathinam Street 3 - Kondithope Ward No 54 Vandalur Rangan Street,All Voters
7,7,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Bashyakaralu Street,All Voters
8,8,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Saravanan Street 2 - Kondithope Ward No 54 Murugesan Street 3 - Kondithope Ward No 54 Pattabiram Street,All Voters
9,9,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Kancheepuram Sabhapathy Street 2 - Kondithope Ward No 54 Suburayan Street 3 - Kondithope Ward No 54 Telegraph Appai Street 999 - Overseas Elector,All Voters
10,10,"Sri R.K.M Vivekananda Centenary Girls Hr. Sec School, No:2 Saravanan Street,Kondithope,Chennai - 600079.",600079,1 - Kondithope Ward No 54 Venkataraman Street,All Voters
