part_no,lat,lon,tier,source,street,street_key,locality,locality_key,door_no,pincode
1,13.077911,80.269001,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,1,600002
1,13.057215,80.26219,locality,nominatim:locality,,,Royapettah,royapettah,4,600014
2,13.077897,80.269177,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,2,600002
3,13.077883,80.269841,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,3,600002
4,13.077869,80.270485,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,4,600002
5,13.077855,80.270663,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,5,600002
6,13.062,80.273,ac_centroid,ac019_centroid,Lebend Street,lebend street,,,1,600002
7,13.077911,80.270619,locality,nominatim:locality,East Coovam River Road,east coovam river road,Chintadripet,chintadripet,1,600002
8,13.077897,80.271098,locality,nominatim:locality,East Coovam River Road,east coovam river road,Chintadripet,chintadripet,2,600002
9,13.077883,80.272494,locality,nominatim:locality,East Coovam River Road,east coovam river road,Chintadripet,chintadripet,3,600002
10,13.077869,80.269059,locality,nominatim:locality,East Coovam River Road,east coovam river road,Chintadripet,chintadripet,4,600002
11,13.077855,80.271173,locality,nominatim:locality,East Coovam River Road,east coovam river road,Chintadripet,chintadripet,5,600002
12,13.077841,80.272555,locality,nominatim:locality,East Coovam River Road,east coovam river road,Chintadripet,chintadripet,6,600002
13,13.062,80.273,ac_centroid,ac019_centroid,East Coovam River Road,east coovam river road,Adikesavapuram,adikesavapuram,1,
14,13.062205,80.274658,street,nominatim:street,Ayya Street,ayya street,Adikesavapuram,adikesavapuram,2,
15,13.062,80.273,ac_centroid,ac019_centroid,Lepond Street,lepond street,,,1,600002
16,13.062,80.273,ac_centroid,ac019_centroid,Lepond Street,lepond street,,,2,600002
17,13.062,80.273,ac_centroid,ac019_centroid,Lepond Street,lepond street,,,3,600002
18,13.077841,80.272506,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,6,600002
19,13.077828,80.269535,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,7,600002
20,13.077814,80.269265,locality,nominatim:locality,West Coovam River Road,west coovam river road,Chintadripet,chintadripet,8,600002
21,13.062219,80.276286,street,nominatim:street,Ayya Street,ayya street,Chintadripet,chintadripet,1,600002
22,13.062205,80.276595,street,nominatim:street,Ayya Street,ayya street,Chintadripet,chintadripet,2,600002
23,13.062191,80.276513,street,nominatim:street,Ayya Street,ayya street,Chintadripet,chintadripet,3,600002
24,13.062177,80.274542,street,nominatim:street,Ayya Street,ayya street,Chintadripet,chintadripet,4,600002
25,13.073313,80.26748,street,nominatim:street,Guruvappa Street,guruvappa street,Chintadripet,chintadripet,,600002
26,13.075085,80.269595,street,nominatim:street,Guruvappa Street,guruvappa street,Chintadripet,chintadripet,2,600002
