station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR,S.SATHISH KUMAR,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
41,1,316,32,130,0,0,19,0,0,0,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,506,8,514
42,3,536,41,108,8,1,25,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,10,739
43,2,265,39,47,1,3,27,1,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,398,8,406
44,0,255,37,107,0,0,19,0,0,0,1,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,427,14,441
45,1,312,14,113,2,1,14,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,461,6,467
46,2,233,36,200,7,1,24,0,0,0,1,0,0,2,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,512,10,523
47,0,387,34,155,4,1,26,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,615,16,631
48,1,376,22,105,1,1,27,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,544,7,551
49,0,343,25,80,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,470,5,475
50,0,438,40,145,0,1,22,0,0,0,3,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,657,9,666
51,1,427,30,160,1,0,17,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,644,5,649
52,4,218,27,375,2,1,27,0,0,0,0,1,0,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,663,11,673
53,0,144,10,372,4,0,14,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,548,12,560
54,3,624,38,71,0,3,31,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,777,8,785
55,1,535,47,82,0,0,20,0,0,0,4,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,694,3,697
56,0,77,8,263,2,0,7,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,363,3,366
57,0,300,32,112,0,0,26,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,477,11,489
58,3,295,56,252,3,0,29,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,645,8,652
59,0,285,16,19,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,336,2,338
60,0,100,15,353,2,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,489,7,496
61,0,285,15,260,0,0,11,0,0,1,1,0,0,1,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,581,9,590
62,0,613,28,74,0,0,29,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,750,8,758
63,0,465,9,171,2,0,14,0,0,0,1,3,1,0,1,1,2,0,2,2,2,0,0,0,0,0,1,0,0,1,0,678,6,682
64,0,297,3,11,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,321,1,322
65,4,405,26,182,1,1,25,0,0,2,1,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,654,7,661
66,1,383,8,10,0,0,10,0,1,0,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,420,2,422
67,0,543,4,25,0,1,4,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,585,7,591
68,1,543,26,58,2,2,30,0,0,0,0,1,0,4,1,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,674,4,677
69,1,486,34,99,3,0,24,0,0,0,1,1,0,2,0,0,1,3,0,0,0,1,1,0,2,0,0,0,1,0,0,660,8,668
70,3,383,46,40,0,3,31,0,0,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,515,4,519
71,4,411,31,136,0,1,38,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,627,14,641
72,1,272,8,41,1,0,18,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,8,355
73,2,319,22,79,0,0,24,1,0,1,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,456,6,462
74,4,368,25,98,0,0,17,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,516,9,525
75,1,181,24,77,0,0,8,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,296,10,306
76,0,473,112,39,1,1,27,0,0,0,2,1,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,667,9,677
77,2,362,30,140,0,0,39,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,581,10,590
78,1,227,20,78,0,0,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,3,346
79,6,471,10,64,0,0,24,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,579,9,588
80,3,347,20,100,1,1,13,0,0,0,5,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,498,8,505
81,6,694,61,36,1,0,42,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,844,1,845
82,1,431,61,73,0,0,56,1,0,0,4,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,632,5,637
83,6,558,97,78,1,0,87,0,0,1,4,2,0,5,1,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,848,7,855
84,2,631,34,93,1,0,22,0,0,0,3,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,798,12,810
85,4,479,41,120,2,1,52,0,0,0,1,1,0,6,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,713,18,732
86,1,412,22,113,0,1,26,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,580,3,583
87,0,290,52,83,0,0,33,0,0,0,5,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,470,7,477
88,0,260,17,81,0,1,10,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,373,1,374
89,0,201,16,73,1,0,15,0,0,0,2,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,314,4,318
90,1,263,29,103,0,0,30,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,430,10,441
91,0,310,18,14,0,1,19,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,368,2,371
92,1,196,13,119,0,0,18,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,354,10,364
93,0,193,9,111,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,332,11,343
94,1,325,19,116,1,0,17,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,490,9,499
95,1,343,42,144,0,0,39,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,579,9,590
96,0,302,41,20,0,0,4,0,0,0,2,1,0,1,0,0,1,5,1,1,2,0,1,0,1,2,0,0,0,1,1,387,1,390
97,5,290,40,123,2,2,25,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,492,7,499
98,0,747,48,33,1,0,22,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,859,6,865
99,1,619,51,42,2,1,29,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,749,4,754
100,1,470,39,87,1,1,37,0,0,1,3,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,645,10,655
101,2,633,8,45,0,0,18,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714,6,720
102,2,600,69,35,1,1,35,1,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,751,6,757
103,2,688,43,35,0,0,33,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,811,4,815
104,1,630,8,2,0,1,11,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,658,4,662
105,0,644,52,14,1,0,31,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,750,3,753
106,17,598,44,31,1,0,30,2,0,0,1,0,0,5,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,2,738,6,743
107,3,526,27,24,0,1,11,0,0,0,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600
