booth_number,pdf_file,18-21_Male,18-21_Female,18-21_Total,18-21_Male%,18-21_Female%,18-21_of_Booth%,22-29_Male,22-29_Female,22-29_Total,22-29_Male%,22-29_Female%,22-29_of_Booth%,30-39_Male,30-39_Female,30-39_Total,30-39_Male%,30-39_Female%,30-39_of_Booth%,40-49_Male,40-49_Female,40-49_Total,40-49_Male%,40-49_Female%,40-49_of_Booth%,50-59_Male,50-59_Female,50-59_Total,50-59_Male%,50-59_Female%,50-59_of_Booth%,60-69_Male,60-69_Female,60-69_Total,60-69_Male%,60-69_Female%,60-69_of_Booth%,70+_Male,70+_Female,70+_Total,70+_Male%,70+_Female%,70+_of_Booth%,Booth_Total_Male,Booth_Total_Female,Booth_Total_Other,Booth_Total,Booth_Male%,Booth_Female%
124,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-124-WI.pdf,6,19,25,24.0,76.0,3.3,60,49,109,55.0,45.0,14.3,69,80,149,46.3,53.7,19.5,73,83,156,46.8,53.2,20.4,70,65,135,51.9,48.1,17.7,57,59,116,49.1,50.9,15.2,45,29,74,60.8,39.2,9.7,380,384,0,764,49.7,50.3
125,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-125-WI.pdf,22,18,40,55.0,45.0,5.7,79,76,155,51.0,49.0,22.3,60,84,144,41.7,58.3,20.7,70,86,156,44.9,55.1,22.4,46,79,125,36.8,63.2,18.0,25,32,57,43.9,56.1,8.2,9,10,19,47.4,52.6,2.7,311,385,0,696,44.7,55.3
126,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-126-WI.pdf,9,9,18,50.0,50.0,3.2,42,43,85,49.4,50.6,15.2,68,61,129,52.7,47.3,23.0,62,85,147,42.2,57.8,26.2,34,62,96,35.4,64.6,17.1,28,38,66,42.4,57.6,11.8,8,11,19,42.1,57.9,3.4,251,309,0,560,44.8,55.2
127,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-127-WI.pdf,8,13,21,38.1,61.9,3.8,40,48,88,45.5,54.5,15.9,58,62,120,48.3,51.7,21.7,56,62,118,47.5,52.5,21.4,35,46,81,43.2,56.8,14.7,33,38,71,46.5,53.5,12.9,28,25,53,52.8,47.2,9.6,258,294,0,552,46.7,53.3
128,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-128-WI.pdf,11,10,21,52.4,47.6,4.1,40,45,85,47.1,52.9,16.5,70,58,128,54.7,45.3,24.8,64,59,123,52.0,48.0,23.8,28,44,72,38.9,61.1,14.0,27,23,50,54.0,46.0,9.7,20,17,37,54.1,45.9,7.2,260,256,0,516,50.4,49.6
129,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-129-WI.pdf,7,9,16,43.8,56.2,2.4,39,55,94,41.5,58.5,14.4,69,83,152,45.4,54.6,23.2,74,59,133,55.6,44.4,20.3,54,62,116,46.6,53.4,17.7,53,45,98,54.1,45.9,15.0,21,24,45,46.7,53.3,6.9,317,337,0,654,48.5,51.5
130,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-130-WI.pdf,6,7,13,46.2,53.8,2.0,38,45,83,45.8,54.2,12.6,53,89,142,37.3,62.7,21.5,78,85,163,47.9,52.1,24.7,55,51,106,51.9,48.1,16.1,34,42,76,44.7,55.3,11.5,40,36,76,52.6,47.4,11.5,304,355,0,659,46.1,53.9
131,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-131-WI.pdf,3,7,10,30.0,70.0,3.4,22,20,42,52.4,47.6,14.1,34,25,59,57.6,42.4,19.8,47,28,75,62.7,37.3,25.2,29,22,51,56.9,43.1,17.1,22,20,42,52.4,47.6,14.1,12,7,19,63.2,36.8,6.4,169,129,0,298,56.7,43.3
132,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-132-WI.pdf,14,12,26,53.8,46.2,4.1,54,36,90,60.0,40.0,14.3,57,59,116,49.1,50.9,18.4,74,78,152,48.7,51.3,24.2,56,52,108,51.9,48.1,17.2,41,48,89,46.1,53.9,14.1,25,23,48,52.1,47.9,7.6,321,308,0,629,51.0,49.0
133,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-133-WI.pdf,8,10,18,44.4,55.6,3.1,29,36,65,44.6,55.4,11.2,58,54,112,51.8,48.2,19.4,78,71,149,52.3,47.7,25.8,52,54,106,49.1,50.9,18.3,38,42,80,47.5,52.5,13.8,22,26,48,45.8,54.2,8.3,285,293,0,578,49.3,50.7
134,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-134-WI.pdf,11,8,19,57.9,42.1,3.5,35,19,54,64.8,35.2,10.0,67,57,124,54.0,46.0,22.9,64,61,125,51.2,48.8,23.1,63,52,115,54.8,45.2,21.3,40,31,71,56.3,43.7,13.1,15,18,33,45.5,54.5,6.1,295,246,0,541,54.5,45.5
